Modelo,Smoothing,Dataset,Acurácia
unigram,backoff,dev,0.9208
unigram,backoff,test,0.9202
unigram,interpolation,dev,0.9208
unigram,interpolation,test,0.9202
unigram,none,dev,0.9208
unigram,none,test,0.9202
bigram,backoff,dev,0.9309
bigram,backoff,test,0.9309
bigram,interpolation,dev,0.9392
bigram,interpolation,test,0.9391
bigram,none,dev,0.9384
bigram,none,test,0.9387
trigram,backoff,dev,0.9404
trigram,backoff,test,0.9408
trigram,interpolation,dev,0.9417
trigram,interpolation,test,0.9413
trigram,none,dev,0.9395
trigram,none,test,0.9401
